id,target
250,1
251,1
252,0
253,1
254,1
255,1
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,1
375,1
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,0
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,1
440,1
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,1
466,1
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,1
490,0
491,0
492,0
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,0
507,0
508,1
509,1
510,0
511,1
512,1
513,1
514,0
515,1
516,1
517,0
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,0
565,1
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,1
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,1
599,0
600,0
601,1
602,1
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,1
611,1
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,1
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,0
650,0
651,1
652,0
653,1
654,1
655,0
656,1
657,1
658,0
659,0
660,0
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,0
672,1
673,1
674,1
675,1
676,0
677,1
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,1
705,1
706,0
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,0
718,1
719,1
720,1
721,1
722,0
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,0
735,1
736,1
737,1
738,0
739,1
740,1
741,0
742,1
743,1
744,0
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,1
757,1
758,0
759,1
760,1
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,0
773,0
774,0
775,1
776,1
777,0
778,0
779,1
780,1
781,0
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,1
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,1
811,1
812,1
813,0
814,1
815,1
816,0
817,1
818,0
819,1
820,1
821,0
822,1
823,1
824,0
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,0
833,1
834,0
835,0
836,0
837,1
838,1
839,1
840,0
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,0
849,0
850,1
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,1
865,1
866,1
867,0
868,1
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,1
882,1
883,1
884,0
885,1
886,0
887,1
888,1
889,0
890,1
891,0
892,1
893,1
894,0
895,1
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,0
907,1
908,1
909,1
910,1
911,1
912,1
913,0
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,0
929,1
930,1
931,0
932,0
933,1
934,0
935,1
936,1
937,1
938,0
939,0
940,1
941,1
942,0
943,1
944,0
945,1
946,1
947,1
948,1
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,0
958,1
959,1
960,1
961,1
962,0
963,0
964,0
965,1
966,1
967,1
968,0
969,1
970,1
971,1
972,0
973,0
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,1
982,1
983,0
984,0
985,1
986,1
987,1
988,1
989,1
990,0
991,1
992,1
993,1
994,1
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,1
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,1
1030,1
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,1
1087,1
1088,0
1089,0
1090,1
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,0
1099,1
1100,1
1101,1
1102,1
1103,0
1104,0
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,1
1116,1
1117,0
1118,1
1119,0
1120,1
1121,1
1122,1
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,0
1139,1
1140,0
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,0
1150,0
1151,1
1152,1
1153,1
1154,1
1155,1
1156,0
1157,0
1158,1
1159,1
1160,0
1161,0
1162,1
1163,0
1164,0
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,0
1175,0
1176,0
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,1
1191,0
1192,1
1193,1
1194,1
1195,1
1196,1
1197,0
1198,1
1199,1
1200,1
1201,0
1202,0
1203,0
1204,1
1205,1
1206,1
1207,1
1208,0
1209,0
1210,1
1211,1
1212,1
1213,0
1214,0
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,0
1222,1
1223,1
1224,1
1225,1
1226,1
1227,0
1228,0
1229,0
1230,1
1231,0
1232,1
1233,1
1234,1
1235,1
1236,0
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,0
1245,1
1246,1
1247,1
1248,1
1249,0
1250,1
1251,1
1252,0
1253,1
1254,1
1255,1
1256,1
1257,1
1258,0
1259,0
1260,1
1261,1
1262,1
1263,0
1264,1
1265,0
1266,0
1267,1
1268,1
1269,0
1270,1
1271,1
1272,0
1273,1
1274,0
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1283,0
1284,1
1285,1
1286,1
1287,0
1288,0
1289,0
1290,0
1291,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,1
1306,1
1307,1
1308,0
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,0
1320,1
1321,1
1322,0
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,0
1333,1
1334,0
1335,1
1336,1
1337,0
1338,1
1339,1
1340,1
1341,1
1342,1
1343,0
1344,1
1345,0
1346,1
1347,1
1348,0
1349,1
1350,1
1351,1
1352,1
1353,1
1354,0
1355,1
1356,0
1357,1
1358,0
1359,1
1360,0
1361,1
1362,0
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,0
1377,0
1378,1
1379,1
1380,1
1381,0
1382,1
1383,1
1384,1
1385,0
1386,1
1387,1
1388,0
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1399,0
1400,0
1401,0
1402,1
1403,1
1404,1
1405,0
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,0
1414,1
1415,0
1416,1
1417,0
1418,1
1419,1
1420,0
1421,1
1422,0
1423,0
1424,1
1425,1
1426,1
1427,0
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,0
1438,1
1439,1
1440,1
1441,0
1442,1
1443,1
1444,1
1445,0
1446,1
1447,1
1448,1
1449,0
1450,0
1451,1
1452,0
1453,1
1454,1
1455,0
1456,1
1457,1
1458,0
1459,0
1460,0
1461,1
1462,1
1463,1
1464,1
1465,0
1466,1
1467,0
1468,0
1469,1
1470,1
1471,1
1472,1
1473,1
1474,0
1475,1
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,1
1483,0
1484,1
1485,1
1486,1
1487,1
1488,1
1489,1
1490,1
1491,0
1492,1
1493,1
1494,1
1495,1
1496,0
1497,0
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,0
1510,0
1511,0
1512,1
1513,0
1514,1
1515,1
1516,1
1517,1
1518,0
1519,1
1520,0
1521,0
1522,1
1523,1
1524,0
1525,1
1526,1
1527,1
1528,1
1529,0
1530,1
1531,0
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,0
1540,0
1541,1
1542,0
1543,1
1544,1
1545,0
1546,1
1547,1
1548,0
1549,1
1550,1
1551,1
1552,0
1553,1
1554,0
1555,1
1556,1
1557,0
1558,1
1559,1
1560,1
1561,1
1562,1
1563,0
1564,1
1565,1
1566,0
1567,1
1568,1
1569,0
1570,1
1571,1
1572,1
1573,1
1574,0
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,0
1598,1
1599,1
1600,0
1601,0
1602,1
1603,1
1604,0
1605,0
1606,0
1607,0
1608,0
1609,1
1610,1
1611,0
1612,1
1613,1
1614,1
1615,1
1616,1
1617,1
1618,1
1619,1
1620,0
